job_name,company,lokasi,tingkat_job,lama_pengalaman,jenis_job,ukuran_company,industri,gaji,median_gaji
data analyst,pt depoguna bangunan online,dki jakarta,senior tingkat menengah,4.0,penuh waktu,1-50 pekerja,ekonomi,,
data analyst,pt infimedia solusi pratama,dki jakarta,asosiasi,1.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,
data analyst,pt cipta urban darsana,dki jakarta,asosiasi,1.0,penuh waktu,51-200 pekerja,pemasaran & periklanan,"[5000000, 6000000]",5500000.0
data analyst,pt mitsui leasing capital indonesia,dki jakarta,asosiasi,2.0,penuh waktu,501-1.000 pekerja,keuangan,"[6000000, 7500000]",6750000.0
data analyst,pt os selnajaya indonesia,jawa barat,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,,"[11000000, 15000000]",13000000.0
data analyst,xendit,dki jakarta,,,,,,,
data analyst,aruna,dki jakarta,,,,,,,
data analyst,pt pt cicil solusi mitra teknologi solusi mitra teknologi,dki jakarta,,,,1-50 pekerja,keuangan,,
data analyst,pt zuzu teknologi servis,dki jakarta,,,,1-50 pekerja,pariwisata,,
data analyst,pt intersoft solutions,dki jakarta,,,magang,1-50 pekerja,teknologi informasi dan komunikasi,,
data analyst,pt agate international,jawa barat,,,,51-200 pekerja,media,,
data analyst,pt bayer indonesia,dki jakarta,,,,1.001-5.000 pekerja,kesehatan,,
data analyst,pt grab taxi indonesia,dki jakarta,,,,201-500 pekerja,teknologi informasi dan komunikasi,,
data engineer,dexa group,banten,asosiasi,1.0,penuh waktu,>5.000 pekerja,kesehatan,,
data engineer,pt agate international,jawa barat,asosiasi,,penuh waktu,51-200 pekerja,media,,
data engineer,perusahaan dirahasiakan,dki jakarta,asosiasi,3.0,penuh waktu,,,"[9000000, 15000000]",12000000.0
data engineer,pt. abeam analytics indonesia,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,konsultasi,,
data engineer,pt mitra informatika,jawa timur,asosiasi,1.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,"[4300000, 6020000]",5160000.0
data engineer,pt cimb niaga tbk,dki jakarta,senior tingkat menengah,2.0,penuh waktu,>5.000 pekerja,keuangan,,
data engineer,pt inti citra agung (optik melawai),dki jakarta,senior tingkat menengah,2.0,kontrak,1.001-5.000 pekerja,ekonomi,,
data engineer,perusahaan dirahasiakan,dki jakarta,senior tingkat menengah,5.0,penuh waktu,,,"[15000000, 20000000]",17500000.0
data engineer,pt smartfren telecom tbk,dki jakarta,senior tingkat menengah,5.0,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt metrodata electronics tbk,dki jakarta,asosiasi,3.0,penuh waktu,1.001-5.000 pekerja,konsultasi,,
data engineer,pt insura media solusi (jakarta),dki jakarta,asosiasi,1.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,"[6000000, 12000000]",9000000.0
data engineer,pt lawencon internasional internasional,dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,konsultasi,,
data engineer,agung sedayu group,dki jakarta,asosiasi,1.0,penuh waktu,>5.000 pekerja,properti,,
data engineer,onlinepajak,dki jakarta,senior tingkat menengah,5.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt izeno teknologi indonesia,dki jakarta,senior tingkat menengah,3.0,penuh waktu,51-200 pekerja,konsultasi,,
data engineer,pt graha karya informasi,dki jakarta,asosiasi,1.0,kontrak,201-500 pekerja,konsultasi,,
data engineer,pt hata arziki indonesia (jakarta),dki jakarta,magang,,magang,1-50 pekerja,,"[4600000, 6440000]",5520000.0
data engineer,pt infoflow solutions,dki jakarta,asosiasi,5.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt hebros,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt fullerton health indonesia,dki jakarta,asosiasi,4.0,penuh waktu,201-500 pekerja,kesehatan,,
data engineer,deloitte consulting sea,dki jakarta,senior tingkat menengah,2.0,penuh waktu,501-1.000 pekerja,konsultasi,,
data engineer,pt kamoro maxima integra,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,"[7500000, 15000000]",11250000.0
data engineer,yayasan bina nusantara,dki jakarta,asosiasi,2.0,penuh waktu,1.001-5.000 pekerja,pendidikan,,
data engineer,pt metrodata electronics tbk,dki jakarta,asosiasi,2.0,penuh waktu,1.001-5.000 pekerja,konsultasi,,
data engineer,pt. htc global software services,dki jakarta,asosiasi,2.0,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt lunaria annua teknologi (koinworks),dki jakarta,asosiasi,1.0,penuh waktu,201-500 pekerja,keuangan,,
data engineer,pt sense health indonesia,jawa barat,senior tingkat menengah,3.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt. usaha pintar pratama,dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,,
data engineer,geekhunter,dki jakarta,asosiasi,2.0,penuh waktu,1-50 pekerja,konsultasi,,
data engineer,pt sehatq harsana emedika,dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,kesehatan,,
data engineer,pt prodia widyahusada tbk,dki jakarta,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,kesehatan,,
data engineer,pt phiraka sinergi indonesia,dki jakarta,asosiasi,3.0,penuh waktu,,,,
data engineer,pt depoguna bangunan online,dki jakarta,senior tingkat menengah,4.0,penuh waktu,1-50 pekerja,ekonomi,,
data engineer,pt nomura research institute indonesia,dki jakarta,senior tingkat menengah,1.0,penuh waktu,1-50 pekerja,konsultasi,"[10000000, 20000000]",15000000.0
data engineer,pt adicipta inovasi teknologi,dki jakarta,asosiasi,1.0,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,,
data engineer,pt eigerindo multi produk industri,jawa barat,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,ekonomi,,
data engineer,pt linktone indonesia - okezone,dki jakarta,senior tingkat menengah,3.0,penuh waktu,501-1.000 pekerja,media,,
data engineer,pt k-24 indonesia,diy,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,kesehatan,,
data engineer,pt os selnajaya indonesia,dki jakarta,asosiasi,3.0,penuh waktu,201-500 pekerja,,"[10000000, 20000000]",15000000.0
data engineer,j-express (pt jaya ekspress transindo) (pt jaya ekspress transindo),dki jakarta,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,transportasi,,
data engineer,pt diksha teknologi indonesia,dki jakarta,asosiasi,2.0,kontrak,201-500 pekerja,konsultasi,,
data engineer,pt os selnajaya indonesia,dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,konsultasi,,
data engineer,xendit,dki jakarta,,,,,,,
data engineer,quipper,dki jakarta,,,,,,,
data engineer,pt agate international,jawa barat,,,,51-200 pekerja,media,,
data engineer,pt finaccel teknologi indonesia,dki jakarta,,,,201-500 pekerja,keuangan,,
data engineer,pt abeam consulting indonesia,dki jakarta,,,,51-200 pekerja,konsultasi,,
data engineer,pt bank dbs indonesia,dki jakarta,,,,1.001-5.000 pekerja,keuangan,,
data architect,pt aia financial,dki jakarta,,,,501-1.000 pekerja,keuangan,,
database administrator,pt triyakom,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,"[7000000, 9800000]",8400000.0
database administrator,pt cyberquote indonesia,jawa timur,asosiasi,3.0,kontrak,1-50 pekerja,keuangan,"[6000000, 7500000]",6750000.0
database administrator,pt crif lembaga informasi keuangan,dki jakarta,asosiasi,4.0,penuh waktu,1-50 pekerja,keuangan,,
database administrator,pt prawathiya karsa pradipta,dki jakarta,asosiasi,1.0,penuh waktu,1-50 pekerja,konsultasi,,
database administrator,hpi-agro,dki jakarta,asosiasi,2.0,penuh waktu,501-1.000 pekerja,agrikultur,,
database administrator,yayasan bina nusantara,dki jakarta,asosiasi,2.0,penuh waktu,1.001-5.000 pekerja,pendidikan,,
database administrator,pt integrasi logistik cipta solusi,dki jakarta,senior tingkat menengah,4.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
database administrator,wings group,dki jakarta,asosiasi,2.0,penuh waktu,>5.000 pekerja,ekonomi,,
database administrator,pt intiland grande,dki jakarta,asosiasi,2.0,penuh waktu,1.001-5.000 pekerja,properti,,
database administrator,pt kliring penjaminan efek indonesia (kpei),dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,keuangan,"[6000000, 8400000]",7200000.0
database administrator,pt astra graphia information technology (agit),dki jakarta,asosiasi,1.0,kontrak,1.001-5.000 pekerja,,,
database administrator,pt ekamita arahtegar,jawa barat,asosiasi,2.0,penuh waktu,>5.000 pekerja,kesehatan,,
database administrator,pt binara guna mediktama,dki jakarta,asosiasi,2.0,penuh waktu,1.001-5.000 pekerja,kesehatan,,
database administrator,trans retail group,dki jakarta,senior tingkat menengah,3.0,penuh waktu,>5.000 pekerja,ekonomi,,
database administrator,pt xtremax teknologi indonesia,jawa barat,tingkat pemula,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
database administrator,pt kwadran lima mitra kaya solusi,jawa barat,,,,1-50 pekerja,konsultasi,,
data scientist,advance.ai,dki jakarta,senior tingkat menengah,,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,bukalapak,dki jakarta,senior tingkat menengah,,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,gojek,dki jakarta,tingkat pemula,,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,telkomsel,dki jakarta,senior tingkat menengah,,penuh waktu,>5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,grab,dki jakarta,tingkat pemula,,penuh waktu,>5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,ajaib,dki jakarta,senior tingkat menengah,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt kamoro maxima integra,banten,,,penuh waktu,,,,
data scientist,"quantumblack, a mckinsey company",dki jakarta,eksekutif,,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,,
data scientist,tata consultancy services,dki jakarta,senior tingkat menengah,,penuh waktu,>5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,koinworks,dki jakarta,asosiasi,,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,"[1250000, 1666667]",1458334.0
data scientist,traveloka,banten,tingkat pemula,,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,impact credit solutions,banten,,,penuh waktu,,,,
data scientist,bank ocbc nisp,dki jakarta,senior tingkat menengah,,penuh waktu,>5.000 pekerja,keuangan,,
data scientist,asia pulp & paper,banten,asosiasi,,penuh waktu,>5.000 pekerja,agrikultur,,
data scientist,dana indonesia,dki jakarta,senior tingkat menengah,,penuh waktu,501-1.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt. teknologi kode indonesia,diy,asosiasi,,penuh waktu,,,,
data scientist,ajaib,dki jakarta,asosiasi,,penuh waktu,,,,
data scientist,bumi pt. amartha mikro fintek teknologi mandiri,dki jakarta,tingkat pemula,,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,,
data scientist,xendit,dki jakarta,asosiasi,,penuh waktu,201-500 pekerja,keuangan,,
data scientist,telkom digital solution by pt telkom indonesia,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,id/x partners,dki jakarta,senior tingkat menengah,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data scientist,philip morris international,dki jakarta,,,penuh waktu,>5.000 pekerja,agrikultur,,
data scientist,data+,dki jakarta,asosiasi,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,"[5000000, 20000000]",12500000.0
data scientist,pgi data,dki jakarta,asosiasi,,penuh waktu,,,,
data scientist,emtrade,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,pt. informasi teknologi indonesia,kalimantan barat,tingkat pemula,,penuh waktu,,,"[833333, 1666667]",1250000.0
data scientist,pt sharing vision indonesia,dki jakarta,asosiasi,,penuh waktu,,,"[9000000, 15000000]",12000000.0
data scientist,pt komunitas anak bangsa,dki jakarta,asosiasi,,penuh waktu,,,,
data scientist,thinkmatch,dki jakarta,asosiasi,,penuh waktu,,,"[0, 10000000]",5000000.0
data scientist,michael page,dki jakarta,asosiasi,,penuh waktu,>5.000 pekerja,human resources,,
data scientist,pt. cudo communications,banten,asosiasi,,penuh waktu,,,,
data scientist,deloitte,dki jakarta,tingkat pemula,,penuh waktu,>5.000 pekerja,konsultasi,,
data scientist,pt. rumah belajar indonesia,banten,senior tingkat menengah,,penuh waktu,,,"[5000000, 10000000]",7500000.0
data scientist,pt bfi finance indonesia tbk,banten,tingkat pemula,,penuh waktu,,,,
data scientist,agriaku,dki jakarta,asosiasi,,penuh waktu,,,,
data scientist,seon indonesia,banten,asosiasi,,penuh waktu,,,,
data scientist,ilmuone data,dki jakarta,senior tingkat menengah,,penuh waktu,,,,
data scientist,pt. astra welab digital arta,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,pt. mediator komunitas indonesia (crowdo),dki jakarta,senior tingkat menengah,,penuh waktu,,,"[0, 15000000]",7500000.0
data scientist,nri (nomura research institute),dki jakarta,tingkat pemula,,penuh waktu,>5.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt datasintesa teknologi nusantara,dki jakarta,asosiasi,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data scientist,julo,dki jakarta,asosiasi,,penuh waktu,,,"[1250000, 2500000]",1875000.0
data scientist,xfers,dki jakarta,tingkat pemula,,penuh waktu,51-200 pekerja,keuangan,,
data scientist,vidio,dki jakarta,asosiasi,,penuh waktu,,,,
data scientist,data arts xperience,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,id/x partners,dki jakarta,asosiasi,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data scientist,sayurbox,dki jakarta,senior tingkat menengah,,penuh waktu,201-500 pekerja,ekonomi,,
data scientist,pt platinumetrix global inovasi,dki jakarta,senior tingkat menengah,,penuh waktu,,,,
data scientist,female daily network,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,niometrics,dki jakarta,tingkat pemula,,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data scientist,zenius,dki jakarta,asosiasi,,penuh waktu,51-200 pekerja,pendidikan,,
data scientist,pt simplefi teknologi indonesia,dki jakarta,senior tingkat menengah,,penuh waktu,,,,
data scientist,leadbook,dki jakarta,tingkat pemula,,penuh waktu,,,"[1166667, 2333333]",1750000.0
data scientist,kompas gramedia - kg media,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,finaccel,dki jakarta,tingkat pemula,,penuh waktu,201-500 pekerja,keuangan,,
data scientist,impact credit solutions,dki jakarta,senior tingkat menengah,,penuh waktu,1-50 pekerja,keuangan,,
data scientist,moslem community application,dki jakarta,asosiasi,,penuh waktu,,,"[10000000, 15000000]",12500000.0
data scientist,the bonza,dki jakarta,asosiasi,,penuh waktu,,,,
data scientist,ruangguru.com,dki jakarta,tingkat pemula,,penuh waktu,,,,
data scientist,pt higo fitur indonesia,dki jakarta,asosiasi,,penuh waktu,,,,
